DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BE,2020,26524,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BE,2021,27726,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2000,3868,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2001,4051,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2002,4586,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2003,4989,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2004,5240,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2005,5630,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2006,5985,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2007,6444,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2008,7435,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2009,7369,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2010,7726,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2011,8514,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2012,8590,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2013,8981,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2014,9361,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2015,9657,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2016,10088,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,BG,2017,10508,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2000,20122,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2001,20932,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2002,21123,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2003,21122,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2004,21747,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2005,22612,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2006,23969,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2007,26108,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2008,27100,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2009,27080,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2010,26786,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2011,27177,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2012,27731,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2013,28516,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2014,29020,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2015,29367,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2016,29080,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2017,28461,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2018,28731,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2019,29077,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2020,29882,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CH,2021,30611,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2000,12020,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2001,12493,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2002,12585,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2003,13531,
