DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2012,107.70,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2013,103.29,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2014,101.47,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2015,100.00,b
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2016,100.27,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2017,102.52,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2018,104.32,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2019,108.20,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2020,107.98,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2021,104.33,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2022,107.71,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2000,50.18,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2001,54.94,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2002,61.89,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2003,68.18,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2004,68.46,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2005,69.51,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2006,74.84,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2007,89.32,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2008,100.80,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2009,96.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2010,95.20,
